ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2021-09-24T08:56:52Z,"Android OS 11 API 30 (OnePlus, HD1910)",2465687,JP,103.90.17.114,,,,,41. Special Episode! お悩み相談エピソード！,Let’s learn Japanese from small talk!,spotify:episode:2iptvbgKiPPZNwjPnulVVq,,,,,trackdone,endplay,False,False,False,,False
2021-10-13T22:17:51Z,"Android OS 11 API 30 (OnePlus, HD1910)",214326,JP,150.65.204.117,,,,,41. Special Episode! お悩み相談エピソード！,Let’s learn Japanese from small talk!,spotify:episode:2iptvbgKiPPZNwjPnulVVq,,,,,clickrow,trackdone,False,False,False,,False
2021-10-13T22:20:25Z,"Android OS 11 API 30 (OnePlus, HD1910)",152404,JP,219.100.183.33,,,,,42. ユーチューバー(YouTuber)とポケモン(Pokemon)とタピオカ,Let’s learn Japanese from small talk!,spotify:episode:7dVgplRmDVdDCEfXY8XCYO,,,,,trackdone,endplay,False,False,False,,False
2021-10-14T00:45:07Z,"Android OS 11 API 30 (OnePlus, HD1910)",1825125,JP,219.100.183.33,,,,,42. ユーチューバー(YouTuber)とポケモン(Pokemon)とタピオカ,Let’s learn Japanese from small talk!,spotify:episode:7dVgplRmDVdDCEfXY8XCYO,,,,,clickrow,logout,False,False,False,,False
2021-10-14T00:48:58Z,"Android OS 11 API 30 (OnePlus, HD1910)",226808,JP,219.100.183.33,,,,,42. ユーチューバー(YouTuber)とポケモン(Pokemon)とタピオカ,Let’s learn Japanese from small talk!,spotify:episode:7dVgplRmDVdDCEfXY8XCYO,,,,,appload,trackdone,False,False,False,,False
2021-10-14T04:45:46Z,"Android OS 11 API 30 (OnePlus, HD1910)",920200,JP,219.100.183.33,,,,,43. 和製英語(made-in-Japan English)？それとも英語？(QuizとNew sectionあります！),Let’s learn Japanese from small talk!,spotify:episode:0KWQ4HMTUux7lpgjvYx7nx,,,,,trackdone,logout,False,False,False,,False
2021-10-14T05:00:22Z,"Android OS 11 API 30 (OnePlus, HD1910)",553945,JP,219.100.183.33,,,,,43. 和製英語(made-in-Japan English)？それとも英語？(QuizとNew sectionあります！),Let’s learn Japanese from small talk!,spotify:episode:0KWQ4HMTUux7lpgjvYx7nx,,,,,appload,endplay,False,False,False,,False
2021-10-16T08:23:16Z,"Android OS 11 API 30 (OnePlus, HD1910)",49482,JP,219.100.182.8,,,,,43. 和製英語(made-in-Japan English)？それとも英語？(QuizとNew sectionあります！),Let’s learn Japanese from small talk!,spotify:episode:0KWQ4HMTUux7lpgjvYx7nx,,,,,clickrow,endplay,False,False,False,,False
2021-10-17T09:27:50Z,"Android OS 11 API 30 (OnePlus, HD1910)",936947,JP,219.100.180.183,,,,,43. 和製英語(made-in-Japan English)？それとも英語？(QuizとNew sectionあります！),Let’s learn Japanese from small talk!,spotify:episode:0KWQ4HMTUux7lpgjvYx7nx,,,,,clickrow,trackdone,False,False,False,,False
2021-10-17T14:40:50Z,"Android OS 11 API 30 (OnePlus, HD1910)",2135516,JP,150.65.110.89,,,,,44. 日本の就活(しゅうかつ)についてと東京駅の魅力(みりょく)! ,Let’s learn Japanese from small talk!,spotify:episode:4XsvgAy3ssNmQozVtyNbk0,,,,,trackdone,logout,False,False,False,,False
2021-10-26T09:35:51Z,"Android OS 11 API 30 (OnePlus, HD1910)",302191,JP,103.90.18.176,,,,,44. 日本の就活(しゅうかつ)についてと東京駅の魅力(みりょく)! ,Let’s learn Japanese from small talk!,spotify:episode:4XsvgAy3ssNmQozVtyNbk0,,,,,clickrow,trackdone,False,False,False,,False
2021-10-26T10:11:29Z,"Android OS 11 API 30 (OnePlus, HD1910)",2135910,JP,103.90.18.176,,,,,38. 好きな言葉(our favourite phrases)と流行に物申す！(we object to the current trends),Let’s learn Japanese from small talk!,spotify:episode:0m1IHHTIdW8VauYftlRHJN,,,,,trackdone,trackdone,False,False,False,,False
2021-10-26T10:29:39Z,"Android OS 11 API 30 (OnePlus, HD1910)",719297,JP,103.90.18.176,,,,,45. 日本の文豪(literary legends)と京都旅行(きょうとりょこう)のすすめ,Let’s learn Japanese from small talk!,spotify:episode:1G7iwlpJStIw6wCBbx1FTc,,,,,trackdone,endplay,False,False,False,,False
2021-11-08T02:34:11Z,"Android OS 11 API 30 (OnePlus, HD1910)",1306182,JP,150.65.110.89,,,,,45. 日本の文豪(literary legends)と京都旅行(きょうとりょこう)のすすめ,Let’s learn Japanese from small talk!,spotify:episode:1G7iwlpJStIw6wCBbx1FTc,,,,,clickrow,trackdone,False,False,False,,False
2021-11-08T03:59:02Z,"Android OS 11 API 30 (OnePlus, HD1910)",1171939,JP,219.100.182.230,,,,,46．メリークリスマス！～日本でのクリスマスとその思い出(おもいで)～,Let’s learn Japanese from small talk!,spotify:episode:3G9zE5OUtBGcoPGZ3XzsHo,,,,,trackdone,logout,False,False,False,,True
2021-11-10T09:43:07Z,"Android OS 11 API 30 (OnePlus, HD1910)",831640,JP,219.100.183.149,,,,,46．メリークリスマス！～日本でのクリスマスとその思い出(おもいで)～,Let’s learn Japanese from small talk!,spotify:episode:3G9zE5OUtBGcoPGZ3XzsHo,,,,,clickrow,logout,False,False,False,,True
2021-11-10T10:20:43Z,"Android OS 11 API 30 (OnePlus, HD1910)",274289,JP,219.100.183.149,,,,,46．メリークリスマス！～日本でのクリスマスとその思い出(おもいで)～,Let’s learn Japanese from small talk!,spotify:episode:3G9zE5OUtBGcoPGZ3XzsHo,,,,,appload,logout,False,False,False,,True
2021-11-10T22:41:26Z,"Android OS 11 API 30 (OnePlus, HD1910)",177716,JP,219.100.182.9,,,,,46．メリークリスマス！～日本でのクリスマスとその思い出(おもいで)～,Let’s learn Japanese from small talk!,spotify:episode:3G9zE5OUtBGcoPGZ3XzsHo,,,,,appload,trackdone,False,False,False,,False
2021-11-10T22:46:42Z,"Android OS 11 API 30 (OnePlus, HD1910)",315328,JP,219.100.182.9,,,,,"2020年1月31日まで！Japan Podcast Award 2019 に投票(とうひょう, vote)よろしくお願いします。",Let’s learn Japanese from small talk!,spotify:episode:7vIQqRDLLZY9lH7SwEUEtJ,,,,,trackdone,trackdone,False,False,False,,False
